Price,Condominium,FloorSize,NumberOfBedrooms,NumberOfBathrooms,ParkingSpaces,IPTU,Address,Title,Link,Publisher,ItemID,UnitTypes
3200.0,1600.0,190.0,4,3,2,350.0,"Avenida Brasil, Funcionários, Minas Gerais","Apartamento para Aluguel - Boa Viagem, 4 Quartos, 190 m2",/imovel/aluguel-apartamento-4-quartos-com-churrasqueira-funcionarios-belo-horizonte-mg-190m2-id-2547476304/,QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA,2547476304,['APARTMENT']
24500.0,0.0,474.0,0,4,30,6429.0,"Avenida Afonso Pena, Centro, Minas Gerais","Loja para alugar, 474 m² por R$ 35.000/mês - Centro - Belo Horizonte/MG",/imovel/aluguel-loja-salao-com-ar-condicionado-centro-belo-horizonte-mg-474m2-id-2557942855/,VIA NOBRE ALUGUEL,2557942855,['BUSINESS']
8500.0,0.0,400.0,1,2,1,1391.0,"Venda Nova, Minas Gerais","Comercial - Loja para aluguel, 1 quarto, 1 vaga, Venda Nova - Belo Horizonte/MG",/imovel/aluguel-loja-salao-1-quarto-venda-nova-belo-horizonte-mg-400m2-id-2556170524/,LAR IMÓVEIS LOCAÇÃO,2556170524,['BUSINESS']
800.0,190.0,25.0,0,1,0,0.0,"Avenida Olinto Meireles, Milionários, Minas Gerais","Sala comercial para alugar, Milionários - Barreiro/MG",/imovel/aluguel-conjunto-comercial-sala-milionarios-belo-horizonte-mg-25m2-id-2558917953/,Administradora Casa Grande,2558917953,['OFFICE']
2000.0,120.0,120.0,3,2,2,116.0,"Rua Izaura, Piratininga Venda Nova, Minas Gerais","Apartamento para Aluguel - Piratininga, 3 Quartos, 120 m2",/imovel/aluguel-apartamento-3-quartos-mobiliado-piratininga-venda-nova-belo-horizonte-mg-120m2-id-2558846727/,QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA,2558846727,['APARTMENT']
4200.0,0.0,90.0,0,3,2,63.0,"Avenida Afonso Pena, Cruzeiro, Minas Gerais","Sala(s) para aluguel, 2 vagas, Cruzeiro - Belo Horizonte/MG",/imovel/aluguel-conjunto-comercial-sala-com-seguranca-interna-cruzeiro-belo-horizonte-mg-90m2-id-2558850273/,Anuar Donato Consultoria Imobiliária,2558850273,['OFFICE']
600.0,208.0,22.0,0,1,0,83.0,"Avenida Barão Homem de Melo, Estoril, Minas Gerais","Sala para aluguel, Estoril - Belo Horizonte/MG",/imovel/aluguel-conjunto-comercial-sala-com-cozinha-estoril-belo-horizonte-mg-22m2-id-2558871658/,DECISÃO IMÓVEIS ALUGUEL,2558871658,['OFFICE']
2400.0,50.0,110.0,2,2,1,135.0,"Rua Maria Francisca, Boa Vista, Minas Gerais","Apartamento para Aluguel - Boa Vista, 2 Quartos, 110 m2",/imovel/aluguel-apartamento-2-quartos-boa-vista-belo-horizonte-mg-110m2-id-2558636972/,QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA,2558636972,['APARTMENT']
2500.0,420.0,110.0,3,2,1,190.0,"Rua Via Láctea, Santa Lúcia, Minas Gerais","Apartamento para Aluguel - Santa Lúcia, 3 Quartos, 110 m2",/imovel/aluguel-apartamento-3-quartos-santa-lucia-belo-horizonte-mg-110m2-id-2558846732/,QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA,2558846732,['APARTMENT']
1000.0,438.0,29.0,0,1,1,105.0,"Avenida do Contorno, São Lucas, Minas Gerais","Sala(s) para aluguel, 1 vaga, São Lucas - Belo Horizonte/MG",/imovel/aluguel-conjunto-comercial-sala-sao-lucas-belo-horizonte-mg-29m2-id-2558850089/,Anuar Donato Consultoria Imobiliária,2558850089,['OFFICE']
1800.0,414.0,33.0,0,1,1,206.0,"Avenida Raja Gabaglia, Estoril, Minas Gerais",Locação Sala Estoril Belo Horizonte,/imovel/aluguel-conjunto-comercial-sala-com-seguranca-interna-estoril-belo-horizonte-mg-33m2-id-2558868160/,3RG IMOVEIS LTDA,2558868160,['OFFICE']
1600.0,878.0,48.0,0,2,2,262.0,"Rua Juiz de Fora, Barro Preto, Minas Gerais",Locação Sala Barro Preto Belo Horizonte,/imovel/aluguel-conjunto-comercial-sala-com-elevador-barro-preto-belo-horizonte-mg-48m2-id-2558868063/,3RG IMOVEIS LTDA,2558868063,['OFFICE']
1300.0,352.0,28.0,0,1,0,188.0,"Rua Alagoas, Funcionários, Minas Gerais","Sala(s) para aluguel, Funcionários - Belo Horizonte/MG",/imovel/aluguel-conjunto-comercial-sala-funcionarios-belo-horizonte-mg-28m2-id-2558848509/,Anuar Donato Consultoria Imobiliária,2558848509,['OFFICE']
